start_time,close,date,high,low,open,volume
1579478400000,8630.64435698,2020-01-20,8743.63653925,8512.15313409,8696.7858208,96021.72646390548
1579564800000,8734.80261654,2020-01-21,8775.48249271,8450.58714757,8627.41337783,91312.2218190034
1579651200000,8661.3537939,2020-01-22,8810.25335379,8567.36440845,8713.55437637,74566.8899435382
1579737600000,8380.17646019,2020-01-23,8688.54427366,8283.20952799,8665.94671769,128816.69026899931
1579824000000,8431.62182099,2020-01-24,8515.35966342,8219.54723006,8377.31037553,100808.9637689402
1579910400000,8331.66869234,2020-01-25,8440.73777224,8251.14945197,8438.38648321,56723.42586984758
1579996800000,8604.46893216,2020-01-26,8614.05688493,8285.40488609,8337.7593066,72740.39247611973
1580083200000,8892.98777236,2020-01-27,8980.02263031,8531.21802172,8598.14287955,133623.78541390813
1580169600000,9384.2709736,2020-01-28,9404.31268702,8865.63735136,8892.45412985,185951.0079034852
1580256000000,9281.97161157,2020-01-29,9434.55280695,9226.65229334,9388.74644434,133537.2345893366
1580342400000,9503.20984858,2020-01-30,9571.94059774,9183.75368249,9280.09307163,151601.68940209842
1580428800000,9342.19472728,2020-01-31,9527.47830621,9197.66299327,9498.9039759,112902.18507424588
1580515200000,9384.10486268,2020-02-01,9469.85892211,9274.52942192,9339.99078927,63823.64357672587
1580601600000,9344.66100674,2020-02-02,9492.81858392,9133.54446493,9373.22763724,108889.52789202104
1580688000000,9281.08132125,2020-02-03,9617.8599329,9220.3416306,9344.43019627,134328.4207101718
1580774400000,9168.5131146,2020-02-04,9348.46804275,9078.15152271,9280.01823762,119147.1630152286
1580860800000,9612.98719812,2020-02-05,9751.04345105,9146.68247489,9165.50519564,157684.6637921362
1580947200000,9757.92343547,2020-02-06,9855.12493749,9527.11181909,9608.87044272,153081.86401354623
1581033600000,9800.52018107,2020-02-07,9865.56953923,9707.18348691,9756.71006055,102584.84637076737
1581120000000,9896.2296237,2020-02-08,9940.96591085,9652.78078738,9799.40541781,102651.02930127172
1581206400000,10159.71310686,2020-02-09,10170.59425376,9879.20246752,9895.87194666,117513.99451641634
1581292800000,9848.29506636,2020-02-10,10198.84320161,9737.71147793,10155.96170509,148374.26540837553
1581379200000,10264.02757336,2020-02-11,10366.38193725,9702.01909426,9849.98863627,159858.26715175962
1581465600000,10332.37118317,2020-02-12,10487.39153401,10242.55128083,10265.25758756,152787.8255974775
1581552000000,10221.91613666,2020-02-13,10512.49240347,10075.8522504,10342.55680179,214506.34811583735
1581638400000,10346.95634142,2020-02-14,10390.99909826,10088.15997765,10230.40749451,123995.31706320946
1581724800000,9900.72786558,2020-02-15,10393.27531279,9776.66364238,10341.79417987,154638.21188018366
1581811200000,9926.27561036,2020-02-16,10049.50502993,9642.24028178,9907.43988466,142825.2462662351
1581897600000,9713.02309814,2020-02-17,9972.02308726,9478.76027996,9924.55903503,190480.28202978912
1581984000000,10185.30852821,2020-02-18,10274.55463969,9603.57967901,9714.44393565,185160.66399482984
1582070400000,9594.01877704,2020-02-19,10773.85645223,9312.20275871,10184.94277338,186791.32258571545
1582156800000,9607.34342893,2020-02-20,9701.46416522,9391.85343665,9595.14772414,155574.279157551
1582243200000,9689.629956,2020-02-21,9764.60097583,9562.95666834,9605.66345809,117204.6142592012
1582329600000,9660.3176512,2020-02-22,9720.38956151,9565.44019821,9688.32823809,71429.96748089988
1582416000000,9972.09426072,2020-02-23,10013.94089538,9652.18121498,9663.43781109,115628.01503550714
1582502400000,9659.16728695,2020-02-24,10022.62659795,9468.54634019,9968.09734633,168456.39936426538
1582588800000,9306.18894043,2020-02-25,9686.0308387,9243.9836945,9659.12447204,156908.89185195268
1582675200000,8782.73665323,2020-02-26,9371.4807686,8616.89525222,9318.14462992,274700.9440718576
1582761600000,8829.06663753,2020-02-27,8984.41521528,8527.50442964,8785.16507665,209051.04568017187
1582848000000,8705.7612347,2020-02-28,8907.27758297,8285.37511879,8822.03895838,208773.9085572778
1582934400000,8543.17320144,2020-02-29,8815.50269198,8541.24942449,8708.38020944,115264.92187689422
1583020800000,8520.75579309,2020-03-01,8769.57851975,8415.17084278,8540.33491332,140626.44991770844
1583107200000,8927.28854302,2020-03-02,8985.50634028,8488.18491062,8524.2107355,175767.35458770674
1583193600000,8759.6145769,2020-03-03,8937.15899242,8657.9865081,8923.04691619,169835.98477402676
1583280000000,8772.46768221,2020-03-04,8878.84583137,8680.52099752,8761.59923691,118836.900186573
1583366400000,9071.45826299,2020-03-05,9182.77363879,8753.7082777,8756.1381003,174556.80956126738
1583452800000,9154.58351467,2020-03-06,9232.9567955,8997.10359412,9068.99089114,143911.64601788786
1583539200000,8887.79474181,2020-03-07,9217.43393034,8857.16894603,9149.19284688,125081.51501517724
1583625600000,8060.12075622,2020-03-08,8912.94806562,8012.06763967,8910.96000674,253844.53855319676
1583712000000,7943.8186367,2020-03-09,8203.90305459,7531.92538086,8057.71290928,341693.7720169597
1583798400000,7895.65473729,2020-03-10,8169.64018985,7750.26116853,7945.27986243,244761.36884151303
1583884800000,7934.44187281,2020-03-11,8009.22029348,7601.44047097,7892.74065513,216414.81658152695
1583971200000,4845.40529438,2020-03-12,7989.08758431,4516.378539,7965.44780419,1062197.921484793
1584057600000,5622.26308995,2020-03-13,6024.79945519,3878.01614601,4830.46609347,1393286.7361432696
1584144000000,5181.58944462,2020-03-14,5674.44344354,5060.56416807,5621.01924514,410648.9948609013
1584230400000,5377.29217478,2020-03-15,6381.56407759,5090.52032942,5214.72582693,428442.24582151155
1584316800000,5042.49320471,2020-03-16,5392.11738658,4435.67789421,5349.66297494,750909.7198867323
1584403200000,5338.86844884,2020-03-17,5731.85487562,4946.48453083,5044.83698742,454920.8080822672
1584489600000,5413.34302442,2020-03-18,5454.20517453,5023.04399689,5338.64317911,428295.21744973224
1584576000000,6182.20013196,2020-03-19,6424.73693857,5267.77499425,5413.49876285,575806.5866833485
1584662400000,6204.0610033,2020-03-20,6931.82318142,5666.60021488,6179.79049547,638072.9185241243
1584748800000,6199.45667069,2020-03-21,6468.19148376,5868.83052502,6210.1074456,354484.2347703922
1584835200000,5822.07965077,2020-03-22,6416.86490406,5744.60626918,6201.82058791,363021.3811467845
1584921600000,6491.26380036,2020-03-23,6629.80271307,5689.37872865,5820.73705433,494378.3882068648
1585008000000,6767.49905756,2020-03-24,6856.79086209,6398.2872447,6492.78747545,443524.3895404063
1585094400000,6687.65315705,2020-03-25,6983.36106306,6463.40080454,6766.65253711,381603.5119984704
1585180800000,6757.74872639,2020-03-26,6791.13602749,6522.77256747,6690.30743893,240900.02019471617
1585267200000,6368.72661381,2020-03-27,6866.88744016,6278.45253442,6756.15565006,261825.58033627644
1585353600000,6251.39867526,2020-03-28,6370.89584903,6034.82087087,6368.96627656,274585.0813092729
1585440000000,5880.46427439,2020-03-29,6280.00142689,5873.71089761,6251.62407556,193332.6564159761
1585526400000,6408.01951861,2020-03-30,6622.8241503,5859.0552581,5881.71703903,316046.5107233175
1585612800000,6425.85428467,2020-03-31,6530.67369879,6336.4215023,6409.96631723,185070.7030222188
1585699200000,6665.45206934,2020-04-01,6706.92158092,6164.99772433,6423.26474007,282656.41437594383
1585785600000,6796.80220271,2020-04-02,7255.40175369,6572.20371065,6666.38882792,419212.9063267109
1585872000000,6747.50645278,2020-04-03,7060.10944596,6614.0151889,6800.58368395,291966.1363235084
1585958400000,6860.45023424,2020-04-04,7009.68589368,6660.46286492,6746.3570333,203762.30260549227
1586044800000,6780.21924078,2020-04-05,6910.52562654,6682.77519147,6873.19763199,138163.62456590985
1586131200000,7341.10202024,2020-04-06,7367.29094909,6772.73451555,6780.66047721,348818.2942921594
1586217600000,7200.56346652,2020-04-07,7503.64695627,7072.02552675,7338.86822312,286864.4618622054
1586304000000,7363.34942876,2020-04-08,7973.49275159,7150.22984983,7196.90204921,219055.89660011313
1586390400000,7290.08470584,2020-04-09,7806.50465085,7116.53308104,7369.9880591,165586.91856099124
1586476800000,6869.60812265,2020-04-10,7304.12964245,6751.73314839,7285.56210872,284353.52495168167
1586563200000,6882.76270062,2020-04-11,6956.47195117,6770.47164508,6872.00983954,136110.3871297172
1586649600000,6912.78033128,2020-04-12,7202.00159654,6791.64789744,6886.66859582,194746.74212659555
1586736000000,6841.14432623,2020-04-13,6916.54949972,6305.22206196,6914.80154626,265604.7875962373
1586822400000,6876.08826954,2020-04-14,6990.58539824,6767.48416817,6857.92951382,194175.67406768975
1586908800000,6625.55044034,2020-04-15,6943.09111832,6610.6015859,6875.88987246,189019.83328582876
1586995200000,7111.17485372,2020-04-16,7207.42367287,6475.16236358,6626.14048481,373291.9743001322
1587081600000,7043.20998466,2020-04-17,7156.50603812,6994.09708768,7113.42668742,159332.76223624122
1587168000000,7251.39201037,2020-04-18,7306.75492482,7022.25886941,7035.37710508,155222.80082777728
1587254400000,7130.64818375,2020-04-19,7281.36728565,7066.45425428,7265.29810142,133962.54419302588
1587340800000,6830.59859533,2020-04-20,7227.62383345,6757.15797973,7131.67364785,251765.9386677564
1587427200000,6843.26446289,2020-04-21,6951.5866759,6772.76348296,6837.54330765,163703.5225464303
1587513600000,7137.78071015,2020-04-22,7168.17040017,6822.77947577,6851.96652224,169138.30415539458
1587600000000,7488.10512133,2020-04-23,7772.31055747,7031.08056556,7134.55578282,312706.9693276878
